IDALOJAMIENTO,DIRECCION,VALORADMIN,AMOBLADO
10994,3993 Norway Maple Way,368496,Y
10995,74675 Knutson Avenue,198667,Y
10996,79441 Kedzie Hill,549282,Y
10997,258 Sutherland Street,543376,Y
10998,79836 Messerschmidt Circle,412661,N
10999,5424 Nova Place,132261,N
11000,59752 Loomis Trail,407786,Y
11001,9279 International Crossing,487800,Y
11002,100 Moose Circle,450744,N
11003,946 Westport Alley,579797,N
11004,7 Portage Crossing,190417,Y
11005,34 Gina Road,255275,N
11006,386 Russell Terrace,250354,N
11007,0 Kipling Park,109219,N
11008,42847 6th Park,584945,N
11009,35126 Debs Crossing,114371,N
11010,8381 Towne Court,402085,Y
11011,6487 Coleman Junction,273530,N
11012,44834 Dryden Place,37461,N
11013,90963 Sundown Court,250245,Y
11014,79 Maywood Circle,103945,Y
11015,25 Bartelt Junction,498875,Y
11016,444 Almo Terrace,493086,Y
11017,676 Doe Crossing Parkway,547059,N
11018,98 Grayhawk Point,206032,Y
11019,0935 Knutson Drive,166984,N
11020,18463 La Follette Pass,499322,N
11021,40 Clove Crossing,125390,Y
11022,085 Longview Junction,324637,N
11023,321 Roth Center,14585,N
11024,59 Brickson Park Plaza,350886,N
11025,2482 Del Mar Junction,460591,Y
11026,0 Merry Lane,428869,Y
11027,38 Crownhardt Street,460104,N
11028,6966 Eggendart Pass,571131,N
11029,93983 Artisan Center,455504,N
11030,3104 Summerview Parkway,400099,N
11031,20611 Manitowish Way,76369,Y
11032,47 Tomscot Point,331573,Y
11033,650 Bobwhite Lane,329562,Y
11034,015 Walton Parkway,51981,Y
11035,42 Northview Crossing,570235,Y
11036,5 Pierstorff Point,235934,N
11037,81901 Crescent Oaks Drive,297586,N
11038,02502 Reinke Street,524855,N
11039,41 Fieldstone Street,341001,Y
11040,21 Fisk Alley,12292,N
11041,888 Bunting Center,223436,Y
11042,69651 Graceland Plaza,13324,N
11043,4207 Morrow Pass,35657,N
11044,191 Eagan Center,489006,Y
11045,2 School Place,4300,N
11046,85 Lunder Plaza,112106,Y
11047,2 Troy Lane,558619,Y
11048,9 Blue Bill Park Alley,121683,N
11049,269 Maryland Road,337286,Y
11050,65 Quincy Street,235648,Y
11051,9164 Stang Pass,572689,N
11052,946 Porter Street,17862,Y
11053,10 Hanson Court,343836,Y
11054,69 Gina Drive,329021,Y
11055,17 Bultman Way,186835,Y
11056,09457 Donald Court,251154,Y
11057,5 Pepper Wood Way,288662,Y
11058,8282 Dahle Plaza,126282,Y
11059,7 6th Road,111674,Y
11060,64917 Holy Cross Pass,431719,N
11061,02815 Eggendart Parkway,124211,N
11062,811 Eastwood Center,532808,N
11063,5 Drewry Pass,457013,Y
11064,676 Express Circle,210398,Y
11065,0633 Rutledge Crossing,33628,N
11066,10 Amoth Street,314530,N
11067,581 Claremont Road,72081,N
11068,49452 Graedel Street,44164,N
11069,6136 Banding Crossing,586208,Y
11070,28 Merchant Road,216972,N
11071,53957 Arapahoe Court,296391,Y
11072,006 Village Plaza,393063,Y
11073,10397 Maywood Center,42879,Y
11074,595 Esker Road,421630,Y
11075,289 Golf Course Way,155829,N
11076,41 Cherokee Way,271321,N
11077,374 Sachs Trail,230412,Y
11078,65892 Westerfield Center,344555,N
11079,74869 Maple Wood Pass,180732,N
11080,580 Meadow Ridge Parkway,210680,N
11081,53422 Nancy Pass,493971,N
11082,8 Talisman Crossing,516876,Y
11083,2617 Hanson Hill,285730,Y
11084,18 Vera Plaza,355264,N
11085,048 Columbus Point,7233,N
11086,36 Banding Park,427452,Y
11087,6759 Dorton Alley,592345,Y
11088,8 Crowley Pass,451242,N
11089,0709 Ronald Regan Junction,375892,N
11090,130 Elmside Drive,289156,N
11091,9143 Drewry Center,280795,Y
11092,2838 Judy Plaza,383437,N
11093,1 Red Cloud Street,70963,N
11094,43322 Comanche Way,206865,Y
11095,8384 Straubel Way,520401,Y
11096,5 Service Crossing,109492,Y
11097,99684 Pond Parkway,447604,Y
11098,578 Westridge Point,515420,Y
11099,80462 Shopko Street,394567,Y
11100,2628 Mcbride Place,444223,N
11101,89499 Almo Point,57995,Y
11102,191 Sugar Avenue,262797,N
11103,282 Elka Hill,95381,N
11104,21 Dunning Point,157420,N
11105,12869 4th Alley,417506,Y
11106,6508 Veith Avenue,178473,Y
11107,3 Petterle Crossing,571778,Y
11108,09 Grayhawk Hill,524600,Y
11109,3741 Pearson Park,579790,Y
11110,6 Columbus Court,542360,N
11111,5 Talisman Street,528207,Y
11112,42058 Corry Hill,182215,N
11113,0262 Tennessee Way,526152,N
11114,188 Ridgeview Road,271727,Y
11115,179 Roxbury Park,456092,Y
11116,51 Harper Point,365021,Y
11117,20 Rowland Trail,300338,N
11118,16017 Tennessee Street,161016,Y
11119,469 Novick Way,444509,Y
11120,81 Ryan Road,379662,Y
11121,9 Spaight Trail,382610,N
11122,485 Erie Court,556168,Y
11123,528 Lien Center,425192,N
11124,35 Gerald Street,420654,Y
11125,95422 Shelley Junction,174738,Y
11126,5 Oakridge Alley,71974,N
11127,7567 Prentice Terrace,518832,N
11128,42996 Jay Circle,305746,N
11129,9 Messerschmidt Circle,206109,Y
11130,50671 Artisan Circle,286908,Y
11131,02915 Schiller Road,226168,Y
11132,4982 Judy Avenue,285369,N
11133,8 Bunker Hill Street,387620,N
11134,61 Barnett Court,181841,Y
11135,942 Blaine Avenue,361326,Y
11136,1289 Cody Lane,445376,N
11137,2291 Sage Parkway,585338,Y
11138,41828 Tennyson Plaza,324445,Y
11139,068 Eggendart Trail,49553,N
11140,5 Veith Street,301195,N
11141,08 Onsgard Park,469433,Y
11142,365 Packers Point,545189,Y
11143,7630 Merrick Point,595397,N
11144,92 Mallory Road,28284,N
11145,7874 Bartelt Hill,217467,N
11146,71055 Almo Way,149886,N
11147,27599 Marcy Circle,357730,N
11148,868 Sachs Street,501971,Y
11149,6 Waubesa Plaza,126291,Y
11150,178 Merrick Place,504729,Y
11151,69661 Bartillon Lane,377952,Y
11152,76 Novick Lane,247166,N
11153,9 Green Ridge Way,594278,N
11154,40 Gateway Alley,212514,N
11155,74174 Anzinger Drive,51156,Y
11156,1000 Vera Park,34814,Y
11157,0899 Summerview Junction,285529,N
11158,808 Paget Court,365158,Y
11159,4 Gateway Trail,251200,Y
11160,5 Swallow Trail,361635,Y
11161,7 Fair Oaks Parkway,317447,N
11162,8587 Dahle Drive,299475,Y
11163,7567 Sundown Circle,339804,Y
11164,1857 Weeping Birch Way,426566,N
11165,35889 Alpine Point,439385,Y
11166,37682 Pine View Street,146396,N
11167,92 Jana Pass,88737,N
11168,6 Valley Edge Trail,193623,N
11169,03117 Johnson Terrace,214069,N
11170,558 Schiller Court,88774,Y
11171,52077 Fair Oaks Point,338841,Y
11172,4196 Farragut Trail,548400,N
11173,9 Parkside Court,532185,Y
11174,675 Debra Hill,245383,N
11175,1516 Morningstar Road,336144,Y
11176,26 Crest Line Circle,179947,N
11177,22 4th Point,26886,N
11178,0 Monterey Avenue,270,Y
11179,4029 Northport Terrace,560826,Y
11180,79436 Hermina Pass,408446,Y
11181,66 Nancy Parkway,266500,Y
11182,754 Monument Pass,82799,Y
11183,96 Coleman Avenue,386461,N
11184,6487 Prentice Junction,415951,N
11185,8697 Southridge Court,560167,Y
11186,81 Hayes Center,239774,Y
11187,5328 Arapahoe Plaza,564440,Y
11188,6345 Forster Terrace,392223,Y
11189,09188 Anderson Point,245208,Y
11190,9 Fuller Crossing,125306,N
11191,98806 Londonderry Court,298802,N
11192,66 Manitowish Court,235731,N
11193,947 Talmadge Park,83604,N
11194,79539 Toban Point,153607,N
11195,1 Clemons Lane,591542,Y
11196,4 Moose Street,358046,N
11197,82 Birchwood Avenue,36393,Y
11198,557 Banding Circle,265058,Y
11199,4 Dahle Road,364460,N
11200,319 Anderson Junction,416849,N
11201,436 Russell Junction,567154,Y
11202,7 Prairieview Way,27594,Y
11203,3303 Larry Pass,181592,N
11204,4 Express Road,9215,Y
11205,8903 Stoughton Crossing,358496,N
11206,80094 Londonderry Drive,314768,Y
11207,09 Burrows Place,227093,N
11208,21524 Sutherland Center,540286,Y
11209,55370 Ilene Terrace,575693,N
11210,95 Reinke Terrace,588437,N
11211,1 Little Fleur Lane,224697,Y
11212,426 2nd Court,541192,Y
11213,65098 Texas Terrace,270816,N
11214,11210 Merrick Plaza,70007,Y
11215,458 Monica Terrace,466281,N
11216,91962 Eliot Drive,250500,Y
11217,7 Emmet Pass,124900,N
11218,05707 Spohn Avenue,446937,Y
11219,03 Grim Road,106822,N
11220,80 Vermont Park,19535,Y
11221,2269 Corscot Crossing,434724,Y
11222,30 Erie Street,400256,Y
11223,2 Hanover Plaza,515767,Y
11224,8 Sullivan Lane,572285,N
11225,34 Alpine Plaza,158065,N
11226,0 Waxwing Terrace,263158,Y
11227,56 Del Sol Parkway,156701,N
11228,5412 Fairview Trail,54336,Y
11229,93 Merchant Terrace,108417,Y
11230,4 Annamark Parkway,191085,Y
11231,87 Macpherson Avenue,305287,N
11232,11814 Badeau Park,8508,N
11233,664 Division Place,406740,Y
11234,1785 Nevada Terrace,197061,N
11235,8661 Duke Lane,15203,Y
11236,090 Ludington Crossing,562245,N
11237,62882 South Trail,527743,Y
11238,3 Russell Alley,387954,Y
11239,66842 Artisan Court,505746,Y
11240,9 Monument Plaza,514790,N
11241,9 Meadow Vale Junction,342753,N
11242,68978 Meadow Ridge Avenue,264321,Y
11243,5656 Waubesa Way,536710,Y
11244,3511 Cardinal Point,509270,Y
11245,974 Declaration Place,66720,N
11246,3 La Follette Hill,64983,Y
11247,62195 Commercial Court,81367,N
11248,8018 Springs Junction,498114,Y
11249,0329 Birchwood Park,473456,Y
11250,822 Red Cloud Avenue,597135,N
11251,43240 Crowley Crossing,436058,Y
11252,8 Dennis Crossing,284535,Y
11253,650 Waubesa Park,223466,N
11254,7777 Burrows Hill,170181,Y
11255,5318 Acker Junction,23078,N
11256,76 Michigan Alley,462917,Y
11257,1 Rockefeller Crossing,9946,Y
11258,03288 Acker Crossing,102020,N
11259,43 Thackeray Plaza,152696,N
11260,309 Elka Park,286134,Y
11261,714 Lerdahl Place,233959,Y
11262,2 Summerview Parkway,404576,N
11263,38 Leroy Trail,239520,Y
11264,266 Springs Drive,536091,N
11265,50538 Riverside Center,31290,Y
11266,98 Prairie Rose Center,97892,Y
11267,7 Dryden Court,118078,Y
11268,1623 Bay Terrace,490012,N
11269,8136 Grasskamp Center,207292,N
11270,0 Express Street,533748,N
11271,4242 Hagan Parkway,441415,Y
11272,68552 Haas Alley,345878,Y
11273,10852 Northview Parkway,531258,Y
11274,3880 Graedel Drive,217114,N
11275,61 Lindbergh Plaza,514435,N
11276,553 Arkansas Pass,250523,N
11277,30 Bluestem Parkway,514682,N
11278,28757 Welch Center,579587,Y
11279,4 Welch Park,336691,N
11280,07 Dwight Court,545160,Y
11281,6685 Wayridge Lane,62517,N
11282,8 Luster Road,307969,Y
11283,40595 Birchwood Drive,68141,Y
11284,63760 Becker Place,331471,N
11285,11 Bay Way,574100,Y
11286,500 Garrison Pass,566031,Y
11287,23017 Pankratz Junction,501172,Y
11288,7 Sugar Place,325537,N
11289,3153 Manufacturers Circle,267164,N
11290,30 Sunnyside Plaza,105055,N
11291,9 Marcy Center,63290,N
11292,96528 Maple Hill,45713,Y
11293,296 Bartelt Pass,433608,N
11294,3749 Dakota Center,78768,N
11295,1 Gateway Street,359984,Y
11296,1523 Hagan Court,410349,N
11297,24 Bayside Court,511080,Y
11298,5255 Fulton Avenue,520792,N
11299,962 Loeprich Pass,63032,Y
11300,1 Ryan Crossing,122265,Y
11301,2 Jackson Center,105695,Y
11302,55 Cody Court,13140,N
11303,832 Sullivan Lane,260222,Y
11304,90 Ilene Junction,365625,N
11305,23 Ilene Drive,300633,Y
11306,16573 Dorton Parkway,477926,Y
11307,259 Morning Hill,511364,Y
11308,602 Pankratz Street,419945,Y
11309,77 Claremont Alley,150560,N
11310,12329 Thierer Junction,102412,N
11311,622 Colorado Park,43704,N
11312,66225 Laurel Way,459206,N
11313,89 Lillian Terrace,585887,Y
11314,9634 Dryden Lane,470266,Y
11315,3612 Gale Hill,227346,Y
11316,3 Hooker Parkway,528366,N
11317,7 Fallview Lane,467969,Y
11318,8432 Schlimgen Circle,553386,N
11319,6726 Harper Place,167722,N
11320,77409 Stephen Way,14837,N
11321,984 Morning Court,82653,N
11322,4 Waywood Crossing,164735,N
11323,414 Mendota Parkway,74910,Y
11324,240 Sachs Pass,212278,Y
11325,5555 Steensland Place,570263,Y
11326,8 Hooker Court,138606,N
11327,2 Mitchell Way,142851,N
11328,688 Erie Avenue,483740,N
11329,6 Kensington Plaza,61947,N
11330,5950 Messerschmidt Avenue,234043,N
11331,65694 Dapin Drive,358088,Y
11332,3 Lukken Crossing,421171,Y
11333,888 Cody Hill,436276,Y
11334,37585 Shasta Park,385805,N
11335,07 Dunning Park,156662,N
11336,931 Northport Park,506613,N
11337,9 Mariners Cove Plaza,382684,Y
11338,24 Forest Run Trail,594609,Y
11339,8 Dryden Hill,426912,Y
11340,41 Lillian Parkway,514945,Y
11341,41 Anhalt Avenue,447604,N
11342,067 Mendota Avenue,153832,Y
11343,005 Blackbird Alley,19350,Y
11344,1 Pierstorff Terrace,586728,N
11345,409 American Ash Court,386470,N
11346,1441 7th Center,204498,N
11347,942 Merry Parkway,149191,N
11348,2878 Jackson Pass,502110,N
11349,432 Graceland Way,374459,Y
11350,7418 Mayfield Street,591574,Y
11351,5723 Merry Drive,421357,N
11352,62855 Esch Pass,146414,N
11353,7857 Gulseth Drive,460528,Y
11354,0 Sachtjen Way,123153,N
11355,548 Sycamore Alley,265244,N
11356,06531 Arkansas Center,460475,Y
11357,808 Pierstorff Lane,79968,Y
11358,48 Mendota Court,477472,N
11359,60 Derek Park,599435,Y
11360,54 Amoth Avenue,274549,N
11361,151 Blaine Avenue,17563,Y
11362,11 Hanson Street,348923,N
11363,473 Ohio Avenue,595514,N
11364,97583 Quincy Street,358762,N
11365,9 Rowland Trail,207028,Y
11366,60 Jenna Circle,542860,N
11367,815 Surrey Point,571868,Y
11368,3410 Heath Road,574465,Y
11369,1039 Maple Wood Center,302819,N
11370,4313 Blue Bill Park Street,312412,Y
11371,25663 Sullivan Plaza,416582,N
11372,892 Sunfield Lane,112354,Y
11373,009 Scofield Place,456845,Y
11374,38 Summerview Drive,497412,N
11375,6 David Trail,127071,N
11376,944 Myrtle Pass,537702,Y
11377,2333 Basil Avenue,149264,Y
11378,4 Graedel Park,250490,Y
11379,2031 Merrick Hill,9007,Y
11380,64343 Bellgrove Place,12791,Y
11381,70166 Sommers Plaza,356505,N
11382,234 Sunbrook Crossing,277573,Y
11383,9 Spaight Drive,514591,Y
11384,84 Stang Hill,364186,Y
11385,7099 Rockefeller Crossing,278139,N
11386,0 Village Court,95610,Y
11387,9824 Waxwing Point,271227,Y
11388,36844 Briar Crest Point,118638,N
11389,85247 Cordelia Circle,433189,N
11390,82 Sugar Plaza,144102,Y
11391,726 Orin Hill,442019,N
11392,01 Eliot Point,451435,N
11393,7 Burning Wood Point,45991,N
11394,0 Marquette Circle,402760,N
11395,263 Algoma Terrace,145523,N
11396,02339 Milwaukee Parkway,320438,N
11397,1 Scoville Point,424763,N
11398,350 Sutteridge Point,115211,Y
11399,5 Bobwhite Circle,583600,N
11400,95363 Jackson Drive,220104,Y
11401,11734 Forest Run Circle,213842,N
11402,6 Pine View Point,450508,Y
11403,74660 Dottie Street,579360,Y
11404,4197 Kennedy Alley,22394,N
11405,0232 Sutherland Terrace,86914,Y
11406,28 Eagan Crossing,177820,N
11407,5997 Iowa Junction,557748,N
11408,325 Columbus Court,589124,N
11409,02954 Jenna Junction,7151,Y
11410,1369 Barby Alley,151445,N
11411,55961 Oakridge Point,62651,N
11412,313 Jenna Point,585383,N
11413,000 Waubesa Terrace,198667,Y
11414,6 Anthes Plaza,170315,Y
11415,859 Cody Center,147582,N
11416,118 Artisan Terrace,595456,N
11417,63 Dorton Center,369114,Y
11418,5851 Oak Valley Park,385792,Y
11419,09478 Lillian Road,483509,Y
11420,8796 Spaight Avenue,478526,N
11421,0 Becker Park,365582,Y
11422,39 Victoria Trail,557046,Y
11423,8 Stephen Junction,134461,Y
11424,68 Kenwood Avenue,431919,N
11425,06080 Saint Paul Center,533329,N
11426,80964 Mccormick Street,217644,Y
11427,6 Morrow Drive,285390,Y
11428,653 Graceland Crossing,19309,N
11429,56232 Kenwood Point,277594,N
11430,6617 Sauthoff Center,81961,Y
11431,12 Goodland Park,373094,N
11432,0339 Bartelt Road,25692,Y
11433,29571 Coleman Avenue,325776,Y
11434,88 Bunker Hill Circle,108645,Y
11435,658 Elgar Park,445996,Y
11436,3 Ryan Plaza,296815,Y
11437,21 Lighthouse Bay Center,527768,Y
11438,44 Canary Hill,509425,N
11439,64 Duke Drive,183551,N
11440,1092 Golden Leaf Crossing,267585,Y
11441,98 Fisk Avenue,292680,Y
11442,3 High Crossing Crossing,598795,Y
11443,2569 Killdeer Parkway,321805,Y
11444,77295 Continental Center,453758,Y
11445,48 Troy Trail,60883,N
11446,17094 Golf View Plaza,437480,Y
11447,7745 Independence Street,258554,N
11448,85664 Ludington Alley,402435,Y
11449,7 Veith Drive,100084,Y
11450,2 Fieldstone Point,496964,N
11451,499 Talmadge Park,322201,Y
11452,2 Mallard Drive,86568,Y
11453,2783 Swallow Center,518865,Y
11454,48 Bayside Circle,65526,N
11455,1 Dixon Circle,493435,N
11456,29 Kinsman Way,469712,Y
11457,6809 Boyd Park,441417,Y
11458,74794 Bobwhite Hill,183845,Y
11459,9 Calypso Circle,274643,N
11460,632 Artisan Parkway,31146,Y
11461,174 Lakewood Lane,196002,Y
11462,91 Warner Terrace,542033,Y
11463,1 Sunfield Court,59470,N
11464,16336 Coolidge Trail,76132,N
11465,9476 Jenna Lane,495798,N
11466,37554 Clyde Gallagher Plaza,100212,N
11467,137 Golf Alley,194279,N
11468,3784 Maryland Plaza,168069,N
11469,6086 Maple Pass,288141,N
11470,8 Park Meadow Road,451625,Y
11471,08 Elmside Circle,130406,Y
11472,7239 Killdeer Way,168868,N
11473,530 Hudson Way,269877,N
11474,49 Redwing Point,415286,Y
11475,4897 Merchant Road,206195,N
11476,75009 Tony Terrace,450097,Y
11477,3180 Stang Road,555906,Y
11478,5481 Tony Pass,471556,Y
11479,39420 Tony Alley,142436,N
11480,639 Lien Drive,522252,Y
11481,6 Bellgrove Parkway,578976,N
11482,710 Hoffman Center,324074,N
11483,0 Northview Point,526435,Y
11484,219 Susan Drive,589278,N
11485,95 Fuller Trail,290981,Y
11486,95634 Duke Circle,104044,Y
11487,12 Lakewood Way,311640,Y
11488,9473 Welch Trail,82489,N
11489,08735 Mifflin Drive,71095,Y
11490,3623 Brown Lane,43164,Y
11491,4 Elmside Pass,253538,N
11492,30693 Stephen Avenue,469491,N
11493,426 Porter Pass,216681,Y
11494,0 Stone Corner Crossing,140784,Y
11495,70 Granby Court,453686,Y
11496,4185 Brentwood Pass,66714,N
11497,247 Comanche Way,451806,Y
11498,2292 Carey Circle,497941,N
11499,750 Reinke Alley,2796,N
11500,0119 1st Avenue,591510,N
11501,918 Laurel Center,286716,Y
11502,183 Tennyson Pass,31630,N
11503,30 Grasskamp Junction,594225,N
11504,68630 Norway Maple Junction,596075,Y
11505,6 Grim Road,100289,Y
11506,62 Menomonie Drive,335801,N
11507,01 Derek Point,255302,N
11508,9579 Oriole Center,415278,N
11509,7607 Tony Terrace,584265,N
11510,6 Steensland Parkway,34264,Y
11511,975 Sycamore Parkway,67451,Y
11512,15 Meadow Vale Drive,273522,Y
11513,6 Stuart Junction,529700,Y
11514,31397 Hauk Alley,167913,N
11515,87 Russell Road,305261,N
11516,50 Rockefeller Trail,528444,N
11517,89 Fulton Circle,518429,N
11518,265 Union Lane,200573,N
11519,5 Vera Plaza,137068,Y
11520,0 Lakewood Alley,363124,N
11521,75350 Macpherson Park,572441,Y
11522,739 Barnett Terrace,107134,Y
11523,576 Westend Lane,152305,N
11524,6424 New Castle Terrace,530599,Y
11525,00 Oak Terrace,492512,Y
11526,474 Blue Bill Park Plaza,204624,N
11527,23164 Towne Way,464147,N
11528,647 Kedzie Crossing,124894,Y
11529,34 Dunning Plaza,13387,N
11530,26 Waywood Junction,432125,N
11531,2537 Alpine Junction,398435,Y
11532,22 Service Road,443911,N
11533,0935 Hoard Road,75907,Y
11534,61629 Heath Terrace,510310,N
11535,058 Bluejay Avenue,496563,Y
11536,777 Spaight Street,379826,Y
11537,7036 Dexter Way,196634,N
11538,43951 Eagan Junction,322141,N
11539,705 Corry Court,38649,Y
11540,36 Arrowood Parkway,521454,Y
11541,789 Summit Street,347171,N
11542,392 Welch Avenue,197830,Y
11543,1153 Weeping Birch Park,355634,N
11544,8015 Sunnyside Way,172600,N
11545,4651 Hollow Ridge Circle,420282,N
11546,32 Northland Pass,487787,Y
11547,2 Clyde Gallagher Center,255691,Y
11548,6 Elgar Alley,270180,N
11549,569 Mcbride Point,39962,N
11550,90 Nova Lane,305715,N
11551,308 4th Road,107401,Y
11552,76446 Forest Dale Pass,428502,N
11553,22 Shopko Crossing,329746,Y
11554,27546 Spenser Hill,127155,N
11555,67 Hudson Court,596623,N
11556,9 Fallview Street,476776,N
11557,6 Pond Way,188632,Y
11558,792 Arrowood Drive,337476,Y
11559,2564 Walton Parkway,144152,Y
11560,3145 Holy Cross Way,314120,Y
11561,7844 Morningstar Circle,216002,Y
11562,650 Bay Parkway,593959,N
11563,0 Bobwhite Place,151660,Y
11564,3 4th Drive,289016,Y
11565,44231 Bayside Point,357137,Y
11566,46 Mcguire Court,364852,Y
11567,9987 Mandrake Point,448579,N
11568,36409 Grasskamp Court,526195,N
11569,281 Hermina Street,40668,Y
11570,093 Green Ridge Lane,79397,Y
11571,7 Sutteridge Drive,8777,Y
11572,7 2nd Court,442496,N
11573,748 Glendale Circle,375126,Y
11574,5340 Esker Terrace,437487,N
11575,37032 Butterfield Trail,299361,Y
11576,016 Dryden Plaza,79425,N
11577,237 Mallard Avenue,330272,N
11578,2884 Clemons Junction,10377,Y
11579,9 Jay Plaza,242172,N
11580,5996 Maple Trail,189667,Y
11581,32303 Pepper Wood Center,338990,Y
11582,54958 American Plaza,569591,Y
11583,8018 Oxford Circle,67868,N
11584,8609 Magdeline Center,423492,N
11585,14 Declaration Park,572597,N
11586,66 Eastlawn Avenue,80438,N
11587,904 Village Junction,494387,N
11588,9474 Gina Street,395785,Y
11589,9475 Stone Corner Alley,351863,N
11590,1339 Manitowish Court,205291,Y
11591,7 Russell Place,394379,Y
11592,0 Monterey Circle,3626,Y
11593,43 Kings Drive,330314,N
11594,94772 Bartelt Alley,28711,N
11595,577 Hanson Plaza,67952,N
11596,509 Gateway Alley,186033,Y
11597,4140 Myrtle Pass,462215,Y
11598,31757 8th Alley,429865,N
11599,9 Redwing Center,44716,N
11600,651 Harper Road,301567,N
11601,0 Bartelt Way,168669,Y
11602,067 Pond Terrace,271761,N
11603,9 Oakridge Lane,229233,N
11604,0210 Oakridge Park,192435,N
11605,727 4th Street,399305,N
11606,096 High Crossing Point,340105,N
11607,26011 Rieder Way,257365,N
11608,07 Golden Leaf Hill,219572,Y
11609,49101 Messerschmidt Alley,169819,N
11610,3 Brickson Park Place,237187,N
11611,52908 Bunting Street,344142,Y
11612,55 Kennedy Parkway,40043,Y
11613,8727 1st Avenue,46835,N
11614,97 Fulton Crossing,40737,N
11615,10 Blaine Avenue,244611,Y
11616,46 Wayridge Terrace,436789,Y
11617,26901 Lakewood Gardens Parkway,82699,Y
11618,657 Eggendart Lane,53390,N
11619,04 Main Terrace,414645,N
11620,47 Scoville Park,347159,Y
11621,4788 Moulton Trail,128337,N
11622,9019 Homewood Avenue,64897,N
11623,4 Sunnyside Pass,324455,N
11624,8 Sunnyside Circle,440008,Y
11625,75 Warner Park,15345,Y
11626,107 Elka Park,74969,Y
11627,53 Westridge Plaza,554155,Y
11628,28 8th Circle,298107,Y
11629,59901 Huxley Terrace,375305,N
11630,98 Shasta Parkway,281003,N
11631,2176 Pennsylvania Court,292059,Y
11632,11 Canary Way,480203,N
11633,769 Tennyson Way,291269,Y
11634,19 Troy Trail,186120,Y
11635,3211 Blue Bill Park Center,148742,Y
11636,4 Lunder Terrace,430646,N
11637,0128 Florence Circle,12635,Y
11638,92 Welch Park,221507,N
11639,79943 Namekagon Alley,544813,N
11640,29215 Fuller Center,137581,Y
11641,92383 Kennedy Pass,582594,N
11642,854 Mendota Trail,77832,Y
11643,02 Dahle Trail,374747,Y
11644,32 Kennedy Road,490772,N
11645,3 Darwin Pass,62092,N
11646,8653 Eastlawn Hill,102551,Y
11647,6 Columbus Circle,183279,N
11648,5538 Summerview Road,469551,N
11649,5 Lyons Center,91668,N
11650,121 Carey Lane,250955,N
11651,7438 Lakeland Hill,83637,N
11652,94744 Arapahoe Pass,255391,N
11653,956 Bartelt Parkway,300796,Y
11654,471 Randy Park,351553,N
11655,19903 International Avenue,73512,Y
11656,79951 Messerschmidt Pass,92674,N
11657,9 Mendota Court,227396,Y
11658,214 Sachtjen Parkway,94649,N
11659,486 Nevada Street,188118,N
11660,26002 Daystar Hill,196428,N
11661,7122 Mallory Hill,510070,N
11662,88 Valley Edge Circle,588743,N
11663,65 Huxley Parkway,358036,N
11664,9831 Carberry Park,82005,N
11665,4 Loftsgordon Point,155258,Y
11666,296 Prentice Center,376205,Y
11667,0 Little Fleur Hill,273354,Y
11668,52748 Kensington Lane,127879,N
11669,11 Elgar Circle,583189,N
11670,2932 Cambridge Terrace,24736,N
11671,36 Arapahoe Lane,299726,Y
11672,57 Westport Street,381672,N
11673,7955 Forest Run Lane,561623,Y
11674,9 Maryland Trail,496437,Y
11675,2 Menomonie Park,330049,Y
11676,7764 Prairieview Pass,551458,N
11677,10 Delaware Avenue,325267,N
11678,281 Vera Trail,231921,Y
11679,38 Scott Plaza,141904,N
11680,7 Arizona Terrace,93656,Y
11681,221 Grim Circle,209707,Y
11682,1 La Follette Drive,509491,N
11683,7014 Lillian Point,552518,Y
11684,606 Farwell Point,383716,Y
11685,59 Bartelt Road,77148,N
11686,04 2nd Street,571974,Y
11687,60015 Talisman Place,298797,N
11688,9 Hallows Street,562858,N
11689,86008 Anhalt Avenue,18115,N
11690,6 Schiller Avenue,286988,N
11691,96779 Chinook Point,442990,N
11692,57 Clove Alley,391454,N
11693,40259 Bonner Terrace,343770,Y
11694,9172 Jackson Hill,559028,N
11695,163 Dahle Drive,81237,N
11696,2096 Monument Center,519955,N
11697,576 Pine View Court,257347,Y
11698,9408 Bashford Way,188441,Y
11699,9 5th Lane,593881,N
11700,94 Hanson Way,456963,N
11701,793 Carioca Parkway,416159,Y
11702,13980 Maple Way,524250,N
11703,3 Kensington Circle,499646,Y
11704,4 Spohn Hill,318146,N
11705,412 Pleasure Parkway,422401,N
11706,5825 Village Pass,419238,Y
11707,82871 Corben Drive,431883,N
11708,73 Westridge Way,396890,N
11709,8 Luster Crossing,312369,Y
11710,594 Harper Alley,462219,N
11711,3683 Packers Way,360958,N
11712,348 Portage Junction,542681,Y
11713,95 Del Mar Trail,88577,Y
11714,045 Hanson Terrace,162040,Y
11715,983 Sauthoff Terrace,77647,N
11716,3687 Reindahl Alley,281496,Y
11717,43275 Hallows Road,311756,N
11718,470 Express Drive,164002,N
11719,16158 Melody Pass,28184,Y
11720,563 Golf View Parkway,551446,N
11721,6611 Dixon Center,7683,Y
11722,9890 Lotheville Park,16889,Y
11723,18 Monument Lane,310585,N
11724,4721 Goodland Hill,237700,Y
11725,008 Barby Court,530576,Y
11726,9 East Plaza,320513,N
11727,54447 Blue Bill Park Trail,442897,Y
11728,3 Green Way,528022,N
11729,3 Dwight Hill,348861,N
