IDALOJAMIENTO,DIRECCION,NUMHABITACIONES,MENAJE,SEGUROARRIENDO,CARACTSEGURO
5521,1887 Moose Pass,2,Y,Y,quisque erat eros
5522,9097 Delladonna Center,3,Y,N,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio
5523,5 Lakewood Gardens Lane,3,N,Y,ut suscipit a
5524,38610 Knutson Plaza,3,Y,N,tempus semper est quam pharetra
5525,1 Florence Park,2,N,Y,id lobortis convallis tortor risus dapibus augue vel accumsan tellus
5526,061 Kensington Pass,2,Y,N,ligula in lacus curabitur at ipsum ac tellus semper
5527,5 Jenna Lane,2,N,Y,nulla neque libero
5528,89 Fairfield Street,1,N,Y,mus vivamus
5529,8357 Fulton Court,1,N,N,lectus pellentesque at nulla suspendisse potenti
5530,16831 Hanover Road,4,Y,N,leo odio porttitor id
5531,3025 Orin Circle,3,Y,Y,tincidunt lacus at velit vivamus vel nulla eget
5532,3951 Orin Street,4,Y,Y,nullam orci
5533,75 Alpine Road,1,Y,N,massa donec dapibus duis at velit eu
5534,7 Eastlawn Drive,4,N,Y,non lectus aliquam sit amet diam in magna bibendum imperdiet
5535,7 Bluejay Crossing,1,Y,N,odio cras mi pede malesuada in imperdiet et
5536,84 Del Sol Junction,4,N,Y,orci luctus
5537,84 Amoth Point,4,Y,Y,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing
5538,4 Oak Lane,4,Y,N,quisque arcu libero rutrum ac
5539,0850 Sachs Place,4,Y,Y,bibendum felis sed interdum venenatis turpis enim blandit mi
5540,608 Hoard Alley,2,Y,N,ultrices aliquet maecenas leo
5541,633 Holy Cross Alley,2,N,Y,tortor sollicitudin
5542,98754 Crownhardt Alley,4,N,N,volutpat eleifend donec ut dolor morbi vel lectus in
5543,68573 Hayes Road,1,N,N,ut dolor morbi vel lectus
5544,27243 Knutson Center,1,Y,N,porta volutpat
5545,17 Charing Cross Way,2,N,Y,cras in purus eu magna vulputate luctus cum sociis natoque
5546,48761 Lakeland Circle,4,Y,N,pretium iaculis justo in hac habitasse platea
5547,245 Northport Terrace,4,Y,Y,primis in faucibus orci luctus et
5548,08 Menomonie Drive,1,N,N,vel pede morbi porttitor
5549,978 Sachs Place,1,N,N,accumsan tortor quis turpis
5550,2240 Blue Bill Park Street,1,N,N,diam cras pellentesque
5551,93907 Welch Center,1,Y,Y,ut odio cras mi pede malesuada in imperdiet et
5552,2575 Hansons Point,1,Y,Y,eu orci mauris lacinia
5553,28 Coleman Lane,2,N,N,nec nisi vulputate
5554,0256 Carberry Plaza,3,Y,N,arcu libero rutrum ac
5555,458 Fairfield Avenue,1,Y,N,vel augue vestibulum ante ipsum
5556,67 Elgar Court,2,N,Y,ligula in lacus curabitur
5557,63808 Utah Road,2,N,Y,nulla dapibus dolor vel est donec odio justo sollicitudin ut
5558,0796 Mayfield Terrace,2,Y,N,vulputate ut
5559,0 Maple Place,1,N,Y,orci luctus et ultrices posuere cubilia curae mauris
5560,9 Saint Paul Drive,1,Y,Y,cubilia curae donec pharetra magna vestibulum aliquet ultrices
5561,85 Ridge Oak Way,4,N,Y,morbi ut odio cras
5562,41221 Forster Pass,4,N,N,elit ac nulla sed
5563,96 Burning Wood Park,4,Y,N,sapien quis libero nullam sit amet turpis elementum ligula vehicula
5564,95849 Namekagon Way,4,Y,N,curae duis faucibus
5565,461 Talmadge Park,2,N,Y,et ultrices posuere cubilia curae donec pharetra
5566,730 Westerfield Pass,1,N,N,duis aliquam convallis nunc proin
5567,30 Packers Place,2,Y,Y,sapien non mi integer ac neque duis bibendum morbi
5568,4 4th Drive,1,N,Y,accumsan odio curabitur convallis duis
5569,55200 Birchwood Junction,4,Y,Y,eros viverra eget congue eget semper rutrum
5570,69649 Hovde Trail,3,Y,N,tortor duis mattis
5571,62 Orin Plaza,1,Y,Y,sapien placerat ante nulla justo aliquam quis
5572,6 Morningstar Court,2,N,N,odio cras
5573,374 Reindahl Park,2,N,N,facilisi cras non velit nec nisi
5574,45444 Gateway Crossing,4,N,Y,duis bibendum felis sed interdum
5575,16 Jackson Way,1,Y,Y,at dolor quis odio consequat varius integer ac leo
5576,71231 Eastlawn Hill,4,Y,Y,donec quis orci eget orci vehicula condimentum
5577,0 Chive Court,2,Y,N,odio cras mi pede malesuada in
5578,92 Eastwood Circle,2,Y,N,mauris ullamcorper purus sit amet
5579,16 Surrey Circle,1,N,Y,cras non velit
5580,7398 Nova Hill,2,Y,Y,volutpat erat quisque
5581,46 Clove Alley,4,N,N,mattis pulvinar
5582,2324 American Ash Parkway,1,N,Y,curabitur at ipsum ac tellus semper interdum mauris ullamcorper
5583,6169 Derek Court,1,Y,Y,tincidunt eget tempus vel pede
5584,9954 Ilene Alley,2,N,N,iaculis diam
5585,77 Paget Lane,1,N,N,nulla tellus in sagittis dui vel nisl
5586,37 Red Cloud Place,3,N,N,vivamus tortor duis
5587,2 Express Road,2,Y,N,ultrices posuere cubilia
5588,63 Union Drive,2,N,N,ridiculus mus etiam vel augue vestibulum
5589,710 Buell Junction,3,N,Y,nam dui proin leo odio porttitor id consequat
5590,06698 Shasta Pass,2,Y,Y,ultrices phasellus id sapien
5591,44 Summerview Center,3,Y,Y,hac habitasse platea dictumst etiam faucibus cursus urna
5592,33 Little Fleur Crossing,1,N,Y,a suscipit nulla elit ac nulla sed
5593,91 Grasskamp Alley,4,N,Y,ipsum primis in faucibus orci
5594,472 Shasta Lane,1,Y,N,vel augue vestibulum rutrum rutrum neque aenean auctor
5595,7255 Sauthoff Point,2,N,N,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel
5596,74 Redwing Park,4,Y,N,libero rutrum ac lobortis vel dapibus
5597,3 Mallory Street,4,N,N,nisi vulputate nonummy maecenas tincidunt lacus at
5598,9 Chinook Lane,3,Y,Y,in consequat
5599,99 Elgar Circle,1,N,N,in lacus curabitur at ipsum
5600,22 Bellgrove Crossing,4,Y,Y,metus aenean
5601,32279 Golden Leaf Lane,1,Y,N,sit amet nunc viverra dapibus nulla suscipit
5602,586 Fisk Lane,1,Y,Y,tortor sollicitudin mi sit amet lobortis sapien
5603,48 Declaration Center,2,Y,Y,a feugiat et eros vestibulum ac est lacinia nisi venenatis
5604,48980 Hanover Place,4,Y,Y,nec molestie sed justo pellentesque viverra pede ac
5605,878 Jay Park,1,Y,Y,amet sapien
5606,4 Barby Way,3,N,Y,et ultrices posuere cubilia curae
5607,7518 Kings Center,2,Y,N,eleifend luctus ultricies eu nibh
5608,74 Coolidge Lane,4,N,Y,ut tellus nulla ut erat id mauris
5609,5671 Boyd Court,4,N,Y,non velit donec diam neque vestibulum eget
5610,6273 Brickson Park Court,2,N,N,proin at turpis a pede posuere nonummy integer non velit
5611,85407 Main Junction,2,N,Y,ultrices phasellus id sapien in sapien iaculis congue
5612,04845 Rutledge Crossing,1,Y,Y,libero rutrum ac lobortis vel dapibus at diam nam
5613,8 Valley Edge Avenue,4,N,Y,vel enim sit amet nunc viverra dapibus nulla
5614,6 Pond Plaza,1,Y,N,odio justo sollicitudin ut suscipit
5615,696 Fairfield Park,3,Y,N,vestibulum ante ipsum primis in faucibus orci
5616,48581 Sheridan Junction,1,N,Y,porta volutpat quam pede lobortis ligula sit
5617,41470 Cherokee Crossing,3,Y,Y,etiam pretium iaculis justo in
5618,359 Kedzie Crossing,1,Y,N,lacus morbi quis tortor
5619,96 2nd Alley,1,N,N,convallis eget eleifend luctus ultricies
5620,61333 8th Drive,4,Y,Y,luctus cum sociis natoque penatibus et
5621,7 Everett Terrace,3,Y,Y,sed vel enim sit
5622,086 Grim Avenue,4,N,Y,magnis dis parturient montes
5623,280 Colorado Lane,3,N,N,porta volutpat quam pede lobortis ligula sit amet
5624,85 Farragut Avenue,1,Y,N,ultrices erat tortor
5625,349 Esch Plaza,4,N,N,nulla nisl
5626,26 Eastlawn Hill,4,Y,N,sed ante vivamus
5627,4 Hollow Ridge Plaza,4,Y,Y,sit amet eleifend pede
5628,035 Elgar Plaza,2,Y,N,consequat lectus in est
5629,01 Hooker Trail,4,N,N,sodales sed tincidunt
5630,161 2nd Lane,2,Y,N,donec vitae nisi
5631,2623 Hermina Circle,2,N,N,sodales scelerisque mauris sit amet eros suspendisse accumsan
5632,76314 Packers Park,2,Y,Y,semper sapien a
5633,07144 Debra Hill,3,N,N,sapien dignissim vestibulum vestibulum
5634,8469 Donald Way,2,N,Y,blandit mi in porttitor pede justo eu
5635,44 Milwaukee Pass,1,Y,Y,nonummy maecenas tincidunt lacus at velit
5636,6 Lukken Park,2,Y,N,aenean fermentum donec ut mauris eget massa
5637,65472 Mayer Road,3,Y,N,fringilla rhoncus mauris enim leo rhoncus
5638,808 Nova Center,1,Y,N,cubilia curae duis faucibus
5639,1 Stuart Junction,2,N,N,vestibulum ante ipsum primis in faucibus orci luctus et ultrices
5640,6075 Truax Avenue,4,N,Y,elementum nullam
5641,90 Jackson Crossing,4,N,Y,leo rhoncus sed vestibulum sit amet cursus id turpis integer
5642,1 Charing Cross Circle,3,N,N,nulla mollis molestie lorem
5643,316 Kingsford Junction,3,N,Y,primis in faucibus orci luctus et ultrices posuere
5644,0455 Shopko Way,4,N,Y,nullam varius nulla facilisi cras
5645,8453 Londonderry Way,1,N,Y,turpis integer aliquet massa
5646,12 Sachtjen Crossing,4,N,N,pede morbi porttitor lorem
5647,3892 Cody Street,2,N,N,non velit nec nisi vulputate nonummy maecenas tincidunt lacus
5648,6 Anhalt Alley,2,Y,Y,erat quisque erat eros viverra eget congue eget
5649,0 Carpenter Avenue,3,N,N,erat nulla tempus vivamus in
5650,5863 4th Hill,3,N,N,blandit ultrices enim
5651,50286 Moulton Circle,4,N,N,pellentesque ultrices
5652,2 Hauk Alley,4,N,Y,felis fusce posuere felis sed lacus morbi sem
5653,809 Manufacturers Way,1,Y,N,dui vel sem sed sagittis nam congue
5654,229 Mesta Junction,3,N,Y,sit amet eleifend pede libero quis orci nullam molestie
5655,63520 Graedel Point,3,N,N,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien
5656,586 Moland Avenue,4,Y,N,nulla ac enim in tempor
5657,257 Lerdahl Plaza,4,N,N,at vulputate vitae
5658,0 Briar Crest Avenue,2,Y,Y,aliquam quis turpis eget elit
5659,58 Gerald Hill,4,N,N,ligula nec
5660,9711 Ryan Court,1,N,Y,vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum
5661,75367 Jay Park,1,Y,N,pretium iaculis diam erat fermentum justo nec condimentum
5662,3 American Crossing,1,N,N,nulla neque libero convallis eget eleifend luctus ultricies eu nibh
5663,2697 Fremont Lane,4,N,Y,pellentesque eget nunc donec quis
5664,3 Quincy Trail,2,Y,Y,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
5665,50 Fisk Circle,2,N,N,arcu sed augue aliquam erat volutpat in congue
5666,106 South Terrace,2,N,Y,iaculis justo in hac habitasse
5667,671 Comanche Lane,1,N,Y,quis tortor id nulla ultrices aliquet maecenas leo odio
5668,799 Heffernan Avenue,1,Y,Y,convallis duis consequat
5669,7 Miller Lane,4,N,N,vel augue vestibulum rutrum rutrum
5670,56197 5th Lane,3,Y,N,elementum eu interdum
5671,22 Trailsway Drive,4,Y,N,nullam sit amet turpis elementum ligula
5672,827 Lyons Park,4,Y,Y,ut nunc vestibulum ante ipsum primis in faucibus
5673,5 Welch Lane,2,Y,Y,vitae consectetuer eget rutrum at lorem integer tincidunt
5674,2 Sugar Terrace,1,Y,Y,pellentesque quisque porta volutpat erat quisque erat
5675,537 Sycamore Court,1,N,Y,semper sapien a
5676,20645 Pine View Hill,1,Y,N,sapien arcu sed augue aliquam erat volutpat in congue
5677,69679 Jenna Park,2,Y,N,in faucibus orci luctus et
5678,37 Eastlawn Way,3,Y,N,tempus semper
5679,7 Browning Court,1,N,Y,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et
5680,44 Mesta Point,1,Y,Y,scelerisque mauris sit amet eros suspendisse accumsan tortor
5681,9 Rusk Place,3,Y,Y,consequat in consequat ut nulla sed accumsan
5682,74264 Brentwood Road,4,N,Y,velit donec diam neque vestibulum eget
5683,25306 Porter Center,2,N,N,mauris sit amet eros suspendisse accumsan
5684,78 Clemons Crossing,1,Y,Y,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin
5685,87 Meadow Valley Drive,1,Y,N,non sodales sed tincidunt eu felis fusce posuere felis sed
5686,38 Ridgeway Hill,4,N,N,non lectus aliquam sit amet
5687,76209 Gina Road,1,N,N,lobortis vel dapibus at diam nam
5688,7 Linden Way,1,Y,N,in est risus auctor sed tristique in tempus
5689,0560 Merchant Alley,4,N,Y,in tempus sit amet sem
5690,743 Harper Way,4,N,N,tempus vel pede morbi porttitor
5691,8925 Prairie Rose Lane,2,N,N,hac habitasse platea dictumst etiam faucibus
5692,09 Corben Way,1,Y,Y,blandit mi in porttitor
5693,18763 Riverside Circle,3,Y,Y,convallis tortor
5694,2 Caliangt Way,4,Y,Y,in felis eu
5695,02756 Delladonna Circle,1,N,N,risus praesent lectus vestibulum quam sapien varius ut blandit non
5696,8 Ronald Regan Parkway,3,Y,Y,faucibus accumsan odio curabitur convallis duis consequat
5697,041 Norway Maple Junction,3,Y,N,vulputate ut ultrices vel
5698,9 Gina Center,2,Y,Y,amet sapien dignissim vestibulum vestibulum ante ipsum
5699,00 Merrick Pass,4,Y,Y,vestibulum ante ipsum primis in faucibus orci luctus
5700,22 Corscot Plaza,1,N,N,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla
5701,178 3rd Pass,3,Y,Y,odio justo sollicitudin ut suscipit a
5702,9010 Oakridge Point,2,Y,N,in eleifend quam a
5703,55 Tennyson Point,1,N,N,sit amet lobortis
5704,65690 Surrey Pass,2,N,N,ipsum dolor sit
5705,80908 Spenser Parkway,3,N,Y,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis
5706,1378 Gateway Street,3,Y,Y,lectus suspendisse
5707,8412 Florence Avenue,2,Y,Y,mi in
5708,00245 Esch Hill,4,N,Y,ultrices libero
5709,905 Carioca Drive,3,Y,N,luctus nec molestie sed justo pellentesque viverra
5710,13 Corry Circle,1,N,Y,justo sollicitudin ut suscipit a feugiat et eros
5711,17663 Cascade Park,2,N,Y,curae donec pharetra
5712,937 Del Sol Street,1,Y,N,felis fusce posuere felis sed lacus
5713,2 Cherokee Drive,2,N,N,lectus pellentesque eget nunc donec quis
5714,05819 Springview Place,1,Y,N,a ipsum
5715,64 Susan Lane,4,Y,Y,vehicula consequat morbi a ipsum integer a
5716,9620 Graedel Junction,3,N,N,pellentesque at nulla suspendisse potenti cras in purus eu magna
5717,5 Browning Street,4,N,N,rutrum ac lobortis vel dapibus at
5718,4 Onsgard Crossing,4,Y,Y,sit amet lobortis sapien sapien non mi integer ac neque
5719,583 Dorton Park,3,Y,Y,odio odio elementum eu interdum
5720,869 Hollow Ridge Drive,2,Y,Y,venenatis lacinia aenean sit amet justo
5721,8825 Sloan Alley,1,Y,Y,leo maecenas pulvinar lobortis est phasellus sit amet erat
5722,8601 Springview Drive,3,N,Y,lectus vestibulum
5723,8 Almo Crossing,4,Y,N,morbi odio odio elementum eu interdum eu tincidunt
5724,80820 Oriole Crossing,3,N,Y,condimentum curabitur in
5725,9 Independence Hill,3,N,N,eu mi nulla ac enim
5726,88 Warbler Alley,3,N,N,donec dapibus duis at velit eu est congue
5727,29451 Del Sol Circle,1,Y,N,dapibus duis at velit eu est congue elementum in
5728,6184 Maple Wood Drive,2,Y,Y,ut odio cras mi pede malesuada
5729,2545 Barnett Terrace,2,N,Y,sagittis sapien
5730,7 Hayes Alley,3,N,Y,justo pellentesque viverra pede ac diam cras
5731,5010 Lakewood Gardens Circle,4,Y,Y,quam nec
5732,02 Burning Wood Plaza,2,N,N,consequat in consequat ut nulla sed
5733,4 Derek Lane,3,Y,N,vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet
5734,4 Southridge Road,4,Y,N,sit amet justo morbi ut odio
5735,0012 Fair Oaks Center,2,Y,Y,pellentesque at nulla suspendisse potenti cras in purus eu
5736,77 David Center,4,Y,Y,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat
5737,4 Delaware Hill,2,N,Y,metus arcu adipiscing
5738,65230 Victoria Lane,2,N,Y,nunc vestibulum ante ipsum
5739,1641 Kim Place,2,Y,N,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum
5740,1066 Bonner Trail,1,Y,Y,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis
5741,4 Cherokee Road,3,Y,Y,in congue etiam justo etiam
5742,07 Orin Drive,2,Y,N,nisi eu orci mauris lacinia sapien quis libero nullam
5743,214 Eastwood Point,2,Y,N,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt
5744,89 Heath Place,2,Y,Y,mi sit amet lobortis sapien
5745,96 Sachs Court,4,Y,N,cubilia curae donec
5746,4167 Stang Avenue,3,N,Y,lacus morbi
5747,020 Del Sol Alley,1,N,Y,platea dictumst
5748,2 Corry Alley,4,N,Y,amet nunc viverra dapibus nulla
5749,0 Eliot Plaza,1,Y,N,nisl venenatis lacinia aenean sit amet justo morbi
5750,8 Sunfield Park,1,N,N,nulla neque
5751,6377 Raven Place,2,N,N,eu orci mauris lacinia sapien quis libero nullam
5752,461 Mandrake Parkway,2,N,Y,mi integer ac neque duis bibendum morbi
5753,5 Pawling Road,1,N,N,sodales sed tincidunt eu felis fusce posuere felis sed lacus
5754,84860 Hanover Pass,1,Y,Y,ornare consequat lectus in est risus auctor sed
5755,5265 Anniversary Court,3,N,N,mauris viverra diam vitae quam suspendisse potenti nullam
5756,36 Elmside Hill,2,Y,Y,tempor convallis
5757,52 Lake View Way,1,Y,N,diam vitae quam suspendisse potenti nullam
5758,833 Sutherland Road,1,Y,N,vitae nisl aenean lectus pellentesque eget nunc donec quis orci
5759,68471 Loeprich Plaza,2,Y,N,ipsum primis in faucibus orci luctus
5760,614 Marquette Trail,4,N,Y,ac consequat metus sapien ut nunc vestibulum ante ipsum primis
5761,94 Cascade Road,2,N,N,vulputate elementum nullam varius nulla
5762,91565 Anniversary Way,1,Y,N,est et tempus semper est quam pharetra
5763,09 Hooker Place,1,Y,N,diam erat fermentum justo nec condimentum neque sapien placerat ante
5764,7 Spohn Trail,1,N,Y,in imperdiet et commodo vulputate justo in blandit ultrices enim
5765,94486 Dawn Park,4,N,N,lacus morbi sem mauris
5766,150 Clemons Point,1,N,Y,cras in purus
5767,146 Haas Alley,2,N,N,elit sodales scelerisque mauris sit amet eros suspendisse
5768,0563 Lukken Lane,2,N,Y,nisl nunc nisl duis bibendum felis sed interdum venenatis turpis
5769,10032 Scoville Alley,1,Y,N,hac habitasse platea dictumst aliquam
5770,062 Schurz Parkway,4,Y,Y,metus arcu adipiscing molestie hendrerit at vulputate
5771,73543 Superior Alley,4,Y,Y,donec quis orci eget orci vehicula condimentum
5772,00162 Dayton Point,3,N,Y,quis augue
5773,53 Chinook Terrace,3,Y,Y,interdum in ante vestibulum ante ipsum primis in
5774,9 Mandrake Trail,2,N,Y,dui vel nisl duis ac nibh fusce
5775,080 Graedel Road,2,N,N,lacinia sapien quis libero nullam sit amet turpis elementum
5776,676 Ruskin Plaza,4,Y,N,aliquam sit amet diam
5777,03704 Village Green Parkway,4,N,Y,augue vel accumsan tellus nisi eu orci mauris lacinia sapien
5778,856 Shelley Trail,4,N,N,proin leo odio porttitor id consequat in
5779,52412 Sycamore Junction,1,N,N,erat volutpat
5780,92 Commercial Lane,3,Y,Y,elementum ligula vehicula consequat morbi a ipsum integer a
5781,67 Division Trail,4,N,N,magnis dis parturient montes nascetur ridiculus mus etiam vel
5782,203 Bluejay Avenue,4,N,N,amet sem fusce consequat nulla nisl nunc nisl
5783,0371 Ronald Regan Lane,3,N,N,enim blandit mi in porttitor pede justo eu massa donec
5784,028 Cascade Road,4,N,Y,sit amet eros suspendisse accumsan tortor quis turpis sed ante
5785,47659 Badeau Center,1,Y,Y,id lobortis convallis tortor risus dapibus augue
5786,19051 Judy Street,2,Y,N,facilisi cras non velit nec nisi vulputate nonummy maecenas
5787,9 Fulton Street,3,Y,N,diam cras pellentesque volutpat
5788,95107 Atwood Crossing,3,Y,Y,tortor id nulla ultrices aliquet
5789,68 Gerald Alley,2,N,N,dapibus duis at velit eu est
5790,74 Lindbergh Street,1,N,Y,nulla suscipit ligula
5791,93642 Briar Crest Avenue,1,Y,N,pede morbi porttitor
5792,972 Melrose Parkway,2,Y,Y,sed tristique
5793,3036 Toban Pass,1,N,N,posuere cubilia curae duis faucibus accumsan odio curabitur convallis
5794,70 Gateway Way,1,N,Y,ligula pellentesque ultrices phasellus
5795,12567 Sundown Lane,4,N,Y,pharetra magna ac consequat metus
5796,6 Fulton Alley,1,Y,Y,id consequat in consequat ut
5797,844 Kipling Alley,3,N,N,nulla suscipit ligula in lacus curabitur
5798,5068 Mccormick Crossing,3,N,N,primis in faucibus orci luctus
5799,0545 Clemons Hill,4,Y,N,posuere cubilia curae
5800,77 Mccormick Avenue,3,Y,N,amet justo morbi ut odio cras
5801,6 Maple Wood Drive,2,N,Y,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin
5802,932 Grasskamp Avenue,3,Y,Y,vel augue vestibulum ante ipsum
5803,29133 Bluejay Point,1,Y,Y,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem
5804,74308 Stone Corner Road,3,N,N,ac enim in tempor
5805,48 Declaration Avenue,3,N,Y,aliquet massa id
5806,202 Arkansas Road,3,Y,Y,rutrum nulla nunc purus phasellus in felis
5807,83 Rigney Crossing,1,Y,Y,odio curabitur convallis
5808,247 Vernon Trail,4,N,N,in porttitor pede justo eu massa donec dapibus duis at
5809,48 Eggendart Place,4,Y,N,in faucibus orci luctus et ultrices posuere cubilia
5810,7968 Lerdahl Avenue,4,Y,N,aenean fermentum donec ut
5811,95597 Fallview Junction,1,Y,N,nisi eu orci mauris lacinia sapien quis libero nullam sit
5812,28 Harbort Court,2,N,N,eget eros elementum pellentesque quisque porta volutpat
5813,90416 Northview Crossing,2,N,N,nisi nam ultrices libero non mattis
5814,35462 Oriole Center,1,Y,Y,in purus eu magna vulputate luctus cum
5815,9 Weeping Birch Lane,3,Y,N,gravida nisi at nibh in hac
5816,83452 Melvin Lane,4,Y,N,nunc viverra dapibus nulla suscipit
5817,1 Reinke Pass,2,N,Y,amet sapien dignissim vestibulum vestibulum ante ipsum
5818,81 Prairieview Circle,2,Y,Y,vel sem sed sagittis nam congue risus semper porta
5819,92856 Schiller Terrace,1,N,Y,porttitor id consequat in consequat ut nulla
5820,5656 Dunning Park,2,Y,Y,risus semper porta
5821,7881 Karstens Road,2,N,N,augue vel accumsan
5822,1 Moland Crossing,2,N,Y,odio consequat varius integer ac leo pellentesque ultrices mattis
5823,0191 Meadow Ridge Circle,2,Y,Y,suscipit a feugiat et eros vestibulum ac est lacinia
5824,2871 La Follette Drive,3,Y,Y,scelerisque quam turpis adipiscing lorem vitae
5825,249 Anthes Street,4,N,Y,sem sed sagittis nam congue risus semper porta
5826,346 Bay Point,4,N,Y,penatibus et magnis dis
5827,93458 Manitowish Street,1,N,N,erat curabitur gravida nisi at
5828,113 Talmadge Circle,3,N,N,curabitur gravida nisi
5829,0 Pepper Wood Junction,2,N,Y,nibh in lectus pellentesque at nulla suspendisse potenti
5830,8015 7th Lane,4,N,Y,in imperdiet et commodo vulputate
5831,882 Victoria Crossing,1,Y,N,quis augue luctus tincidunt nulla mollis
5832,24004 Westport Center,4,Y,Y,nisi venenatis tristique fusce congue diam id
5833,5 Shopko Point,2,N,Y,odio condimentum id luctus nec molestie
5834,64021 Emmet Lane,4,Y,N,dapibus duis at velit
5835,5088 Bartelt Hill,3,N,Y,sapien varius ut blandit non interdum in
5836,04813 Waywood Parkway,1,N,Y,phasellus sit amet erat nulla tempus vivamus in felis eu
5837,7853 Morning Avenue,1,N,N,in felis eu sapien cursus vestibulum proin eu mi
5838,9637 Northfield Street,4,Y,Y,integer ac neque duis bibendum morbi non
5839,9415 Pearson Center,4,Y,Y,eu est congue elementum in
5840,7637 Fair Oaks Way,3,Y,Y,magnis dis parturient montes nascetur
5841,68588 Brentwood Place,3,N,N,lacinia aenean sit amet
5842,7564 Cherokee Alley,4,Y,N,sit amet justo morbi ut odio cras mi pede malesuada
5843,773 Garrison Terrace,4,N,Y,est phasellus sit amet erat nulla tempus
5844,0 Lyons Pass,2,N,N,vel nulla eget eros
5845,5314 Village Alley,2,N,N,dictumst morbi
5846,2290 Elka Crossing,1,N,N,in magna bibendum imperdiet nullam
5847,689 Blackbird Parkway,4,N,Y,ut nulla sed accumsan felis ut
5848,655 Jenna Center,4,N,Y,ac neque duis bibendum morbi non quam
5849,0299 Glacier Hill Street,1,Y,N,pede posuere nonummy integer non velit donec diam
5850,88701 Bonner Terrace,3,Y,Y,sit amet
5851,22430 Service Park,1,Y,N,semper porta volutpat quam pede lobortis
5852,3 Amoth Crossing,2,N,N,turpis a pede posuere
5853,52665 Randy Point,2,Y,N,sociis natoque penatibus et magnis
5854,514 Mallory Crossing,1,N,Y,leo odio porttitor id consequat in consequat ut nulla
5855,81965 Pepper Wood Pass,2,N,Y,lobortis ligula sit amet
5856,072 Gale Point,1,Y,N,sem mauris laoreet ut rhoncus aliquet pulvinar
5857,3559 Rigney Place,1,N,N,dis parturient montes
5858,04928 North Pass,4,Y,N,sapien a libero nam dui proin
5859,704 Morningstar Plaza,3,Y,N,velit vivamus vel nulla eget eros elementum
5860,89936 Grim Way,3,Y,N,nulla integer pede justo lacinia eget tincidunt
5861,1268 Eliot Pass,2,Y,Y,pede malesuada
5862,9 Mariners Cove Avenue,2,Y,Y,non velit donec diam neque vestibulum eget
5863,0 Del Mar Way,4,N,Y,sed interdum venenatis turpis
5864,52583 Coolidge Lane,2,N,Y,tempus vivamus
5865,2 Bunker Hill Lane,2,Y,N,feugiat non pretium quis lectus suspendisse
5866,03981 Truax Way,1,Y,Y,vel nulla eget eros elementum pellentesque
5867,9 Coolidge Point,3,Y,N,nam tristique
5868,685 Becker Way,2,Y,N,adipiscing lorem vitae
5869,568 Schiller Court,3,N,Y,rhoncus mauris enim leo rhoncus
5870,89 Thompson Way,4,N,Y,vestibulum aliquet ultrices erat
5871,83 Mccormick Road,3,N,Y,nam nulla integer
5872,56031 Donald Trail,3,N,N,cubilia curae nulla dapibus dolor vel est
5873,2026 Service Parkway,3,Y,N,felis eu sapien cursus vestibulum
5874,64 Mitchell Street,2,Y,N,primis in faucibus orci luctus
5875,83543 Manitowish Way,3,Y,N,vehicula consequat morbi a ipsum integer a nibh in
5876,8272 Lawn Alley,2,Y,N,congue elementum in hac habitasse platea dictumst
5877,8 Grasskamp Road,3,N,N,vestibulum ac est
5878,27715 Spaight Court,1,Y,N,ipsum aliquam non mauris morbi non
5879,02 Wayridge Street,1,N,Y,et ultrices posuere cubilia curae nulla dapibus dolor vel
5880,29235 Bowman Trail,1,Y,Y,in imperdiet
5881,31838 Brickson Park Road,2,Y,N,dapibus nulla suscipit ligula in lacus curabitur at ipsum ac
5882,3109 Sachtjen Place,2,N,Y,vel nulla
5883,07377 Transport Junction,1,Y,Y,ullamcorper augue a suscipit nulla elit ac nulla
5884,9210 Sunfield Crossing,3,N,Y,sapien cursus vestibulum proin eu
5885,2 Maryland Way,3,N,N,dapibus dolor vel est donec
5886,36 Jana Court,1,N,N,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum
5887,8 Kennedy Alley,4,Y,Y,turpis elementum ligula
5888,3 Florence Hill,2,N,N,in magna bibendum imperdiet nullam orci pede venenatis non
5889,243 Sage Terrace,1,N,Y,ultrices posuere cubilia curae duis faucibus
