NUMRESERVA,IDALOJAMIENTO,DIARESERVA,TIEMPODIAS
733,36,2020-08-09 00:51:47,2
734,2,2020-08-21 08:20:15,5
735,72,2020-08-27 16:30:41,3
736,41,2020-08-11 15:55:06,4
737,81,2020-08-29 23:07:47,2
738,23,2020-08-23 02:43:43,5
739,52,2020-08-08 00:31:47,3
740,11,2020-08-20 14:45:41,5
741,97,2020-08-19 12:46:15,4
742,21,2020-08-13 21:34:50,4
743,75,2020-08-06 17:01:09,5
744,83,2020-08-08 22:55:20,2
745,24,2020-08-26 15:56:04,4
746,90,2020-08-02 09:57:00,2
747,76,2020-08-13 20:21:58,5
748,10,2020-08-03 06:57:43,2
749,67,2020-08-03 04:51:34,2
750,74,2020-08-10 13:04:01,5
751,19,2020-08-14 09:56:57,1
752,33,2020-08-17 22:52:58,5
753,20,2020-08-24 03:38:20,2
754,76,2020-08-08 12:24:48,5
755,56,2020-08-06 16:01:32,2
756,29,2020-08-28 08:32:19,2
757,90,2020-08-10 03:48:56,2
758,44,2020-08-02 05:03:30,3
759,78,2020-08-12 05:58:35,2
760,50,2020-08-28 02:47:04,4
761,17,2020-08-24 15:16:53,3
762,87,2020-08-22 04:57:25,4
763,7,2020-08-10 15:47:35,3
764,73,2020-08-13 19:38:05,2
765,67,2020-08-18 04:55:32,3
766,28,2020-08-13 07:50:24,5
767,74,2020-08-16 06:48:08,4
768,93,2020-08-02 04:25:09,5
769,77,2020-08-28 23:18:59,1
770,79,2020-08-21 04:44:50,2
771,2,2020-08-07 19:05:27,1
772,78,2020-08-14 09:40:46,2
773,11,2020-08-04 08:48:49,1
774,66,2020-08-06 17:49:03,4
775,14,2020-08-24 13:54:38,4
776,94,2020-08-21 03:42:31,3
777,84,2020-08-10 19:34:36,2
778,81,2020-08-28 11:42:39,5
779,21,2020-08-09 03:27:39,1
780,42,2020-08-29 03:03:01,1
781,39,2020-08-06 13:02:49,3
782,56,2020-08-22 11:31:56,1
783,43,2020-08-20 13:52:52,2
784,46,2020-08-16 01:07:59,3
785,97,2020-08-14 03:47:24,1
786,8,2020-08-10 23:33:30,3
787,28,2020-08-19 07:44:49,5
788,61,2020-08-19 08:01:53,5
789,25,2020-08-24 04:33:40,2
790,71,2020-08-15 20:16:36,1
791,7,2020-08-24 03:43:10,4
792,91,2020-08-17 11:10:16,1
793,26,2020-08-16 16:43:56,2
794,33,2020-08-05 03:46:33,3
795,7,2020-08-20 02:38:33,1
796,10,2020-08-24 01:23:47,4
797,33,2020-08-16 08:02:18,4
798,51,2020-08-22 07:52:01,3
799,14,2020-08-14 00:42:47,5
800,82,2020-08-06 22:12:38,4
801,50,2020-08-30 00:08:09,1
802,39,2020-08-13 01:26:31,5
803,73,2020-08-27 20:44:14,1
804,87,2020-08-01 03:46:15,3
805,71,2020-08-04 22:05:43,1
806,12,2020-08-27 06:57:41,1
807,93,2020-08-24 21:41:16,3
808,62,2020-08-07 00:05:34,2
809,59,2020-08-19 13:21:27,1
810,48,2020-08-16 14:38:47,1
811,94,2020-08-16 06:55:17,5
812,26,2020-08-16 19:09:11,5
813,16,2020-08-04 08:45:14,1
814,85,2020-08-28 17:59:43,4
815,8,2020-08-14 14:12:48,4
816,100,2020-08-08 08:44:30,2
817,33,2020-08-27 09:11:46,4
818,40,2020-08-27 22:13:42,2
819,50,2020-08-15 22:01:24,2
820,22,2020-08-15 12:28:41,2
821,82,2020-08-23 15:09:13,2
822,78,2020-08-18 11:46:34,4
823,99,2020-08-13 13:16:03,3
824,97,2020-08-08 06:19:37,4
825,27,2020-08-27 18:45:35,3
826,12,2020-08-10 12:24:48,1
827,36,2020-08-23 10:52:07,5
828,50,2020-08-28 15:54:04,2
829,38,2020-08-04 04:44:46,1
830,54,2020-08-20 19:29:18,1
831,51,2020-08-28 23:30:31,5
832,73,2020-08-01 16:22:42,2
833,53,2020-08-15 06:50:30,5
834,15,2020-08-19 02:43:20,2
835,37,2020-08-04 09:14:55,5
836,22,2020-08-11 02:04:00,5
837,56,2020-08-06 08:36:31,1
838,9,2020-08-10 08:49:05,4
839,74,2020-08-07 04:02:31,4
840,43,2020-08-12 17:21:23,5
841,45,2020-08-19 13:58:51,3
842,11,2020-08-24 16:35:02,1
843,11,2020-08-12 12:50:54,3
844,90,2020-08-14 22:38:53,1
845,1,2020-08-23 11:35:19,2
846,73,2020-08-06 14:28:46,3
847,62,2020-08-01 03:12:09,4
848,4,2020-08-10 14:21:37,2
849,68,2020-08-01 02:07:03,2
850,71,2020-08-24 17:23:52,4
851,32,2020-08-11 21:14:05,2
852,88,2020-08-29 05:19:41,4
853,38,2020-08-20 08:31:48,5
854,77,2020-08-11 10:25:19,4
855,36,2020-08-11 11:31:21,3
856,7,2020-08-18 05:33:46,3
857,33,2020-08-08 19:16:56,2
858,1,2020-08-02 21:30:17,1
859,51,2020-08-03 12:56:23,3
860,92,2020-08-17 15:32:08,4
861,52,2020-08-22 06:39:36,5
862,97,2020-08-04 17:47:15,3
863,69,2020-08-06 18:29:20,3
864,60,2020-08-21 08:40:08,5
865,46,2020-08-13 07:55:37,4
866,33,2020-08-22 04:26:45,1
867,48,2020-08-04 06:44:08,4
868,81,2020-08-08 02:26:54,4
869,93,2020-08-30 15:16:06,4
870,51,2020-08-16 01:06:31,5
871,14,2020-08-28 17:49:39,2
872,48,2020-08-03 11:24:05,1
873,84,2020-08-02 19:43:38,4
874,66,2020-08-03 10:27:29,5
875,75,2020-08-26 09:36:58,3
876,28,2020-08-24 20:39:55,4
877,70,2020-08-06 04:55:32,5
878,34,2020-08-09 06:41:22,1
879,54,2020-08-04 05:10:28,5
880,3,2020-08-05 05:27:54,4
881,31,2020-08-28 21:32:38,4
882,38,2020-08-10 16:10:07,3
883,91,2020-08-12 22:29:53,2
884,20,2020-08-10 03:20:14,3
885,93,2020-08-26 16:19:05,3
886,67,2020-08-05 14:25:53,1
887,63,2020-08-18 22:51:49,4
888,19,2020-08-29 16:08:15,5
889,19,2020-08-09 20:21:39,1
890,65,2020-08-12 17:30:41,1
891,74,2020-08-14 05:01:20,3
892,22,2020-08-23 09:47:34,2
893,68,2020-08-29 11:38:43,5
894,44,2020-08-25 03:06:18,1
895,54,2020-08-15 03:04:57,2
896,9,2020-08-29 18:07:22,4
897,8,2020-08-02 12:57:43,1
898,92,2020-08-02 18:38:37,1
899,58,2020-08-28 14:06:24,5
900,78,2020-08-24 05:20:08,5
901,31,2020-08-15 11:00:06,3
902,18,2020-08-04 16:41:06,2
903,14,2020-08-23 12:34:15,1
904,37,2020-08-06 15:09:18,5
905,4,2020-08-10 13:11:51,3
906,76,2020-08-15 09:02:54,1
907,27,2020-08-17 08:56:22,4
908,33,2020-08-22 09:45:03,5
909,71,2020-08-20 10:00:29,1
910,26,2020-08-03 06:30:22,1
911,49,2020-08-17 14:56:14,4
912,6,2020-08-16 02:31:00,2
913,60,2020-08-06 12:37:00,5
914,79,2020-08-04 11:26:03,2
915,84,2020-08-23 10:34:42,5
916,94,2020-08-06 04:01:33,3
917,42,2020-08-14 01:49:15,1
918,92,2020-08-17 06:17:58,5
919,46,2020-08-03 10:51:52,1
920,97,2020-08-20 13:48:47,2
921,31,2020-08-02 13:07:10,3
922,39,2020-08-25 20:37:35,2
923,80,2020-08-20 15:33:11,5
924,44,2020-08-07 14:43:50,1
925,96,2020-08-12 06:45:10,5
926,48,2020-08-04 15:28:59,5
927,80,2020-08-12 18:05:16,5
928,25,2020-08-15 06:07:39,1
929,29,2020-08-23 13:31:40,1
930,25,2020-08-04 17:28:04,4
931,89,2020-08-03 22:42:50,2
932,82,2020-08-29 03:13:42,2
933,92,2020-08-04 20:20:59,4
934,81,2020-08-09 17:15:41,5
935,51,2020-08-15 16:20:26,2
936,45,2020-08-15 09:47:34,4
937,10,2020-08-01 00:34:20,1
938,77,2020-08-22 23:48:22,3
939,75,2020-08-23 00:17:01,2
940,70,2020-08-05 17:22:16,1
941,9,2020-08-16 06:25:45,4
942,2,2020-08-06 04:51:39,2
943,93,2020-08-20 16:48:05,5
944,18,2020-08-14 22:12:26,2
945,38,2020-08-16 06:18:26,2
946,83,2020-08-04 16:31:44,3
947,84,2020-08-29 06:32:22,5
948,83,2020-08-19 16:50:28,3
949,59,2020-08-04 11:05:58,3
950,44,2020-08-25 15:56:46,4
951,75,2020-08-17 18:58:52,1
952,33,2020-08-20 19:26:51,3
953,83,2020-08-30 19:14:05,1
954,71,2020-08-19 21:06:01,3
955,70,2020-08-06 21:49:32,4
956,79,2020-08-04 16:58:06,4
957,34,2020-08-10 10:18:15,3
958,15,2020-08-01 19:30:54,5
959,33,2020-08-21 20:13:40,1
960,98,2020-08-06 14:09:14,1
961,24,2020-08-26 18:42:47,5
962,19,2020-08-08 17:16:45,3
963,32,2020-08-30 23:05:57,3
964,75,2020-08-13 15:22:44,3
965,14,2020-08-18 02:53:29,3
966,49,2020-08-10 18:46:51,3
967,58,2020-08-27 17:44:44,3
968,8,2020-08-04 05:04:47,1
969,2,2020-08-09 06:00:06,2
970,99,2020-08-24 21:03:30,4
971,16,2020-08-11 19:35:58,5
972,81,2020-08-09 07:51:13,5
973,32,2020-08-29 09:25:46,3
974,88,2020-08-26 05:22:12,2
975,90,2020-08-30 03:22:11,2
976,13,2020-08-09 13:32:25,2
977,66,2020-08-23 06:43:46,1
978,59,2020-08-14 21:56:00,1
979,90,2020-08-21 10:08:32,5
980,69,2020-08-24 14:07:16,4
981,25,2020-08-21 17:37:21,4
982,8,2020-08-22 02:28:40,4
983,93,2020-08-23 01:10:25,3
984,68,2020-08-23 22:05:07,5
985,49,2020-08-18 00:04:08,5
986,73,2020-08-01 04:18:22,4
987,90,2020-08-20 16:46:24,2
988,43,2020-08-09 08:43:57,4
989,41,2020-08-25 07:32:36,3
990,39,2020-08-09 11:11:08,2
991,31,2020-08-10 15:03:00,2
992,17,2020-08-26 21:56:45,3
993,36,2020-08-06 10:10:41,4
994,25,2020-08-18 03:58:30,4
995,95,2020-08-29 09:57:42,4
996,72,2020-08-23 03:36:22,2
997,11,2020-08-06 13:45:34,2
998,13,2020-08-01 19:37:07,3
999,21,2020-08-02 19:08:42,2
1000,43,2020-08-22 09:07:49,5
